Metric_Code,Base Year,Value
MLCON000009745,2005,1.81876E+13
MLCON000009747,2005,1.74079E+13
MLCON000009749,2005,1.68892E+13
MLCON000009751,2005,1.62552E+13
MLCON000009753,2005,1.57599E+13
MLCON000009755,2005,1.57469E+13
MLCON000009757,2005,1.50047E+12
MLCON000009758,2005,1.43432E+12
MLCON000009759,2005,1.37119E+12
MLCON000009760,2005,1.28597E+12
MLCON000009761,2005,1.22767E+12
MLCON000009762,2005,1.20262E+12
MLCON000009763,2005,1.15488E+12
MLCON000009764,2005,1.1401E+12
MLCON000009765,2005,1.11905E+12
MLCON000009766,2005,1.15886E+12
MLCON000009767,2005,1.24311E+12
MLCON000009768,2005,1.21883E+12
MLCON000009769,2005,1.11446E+12
MLCON000009770,2005,1.05888E+12
MLCON000009771,2005,9.95845E+11
MLCON000009772,2005,9.21718E+11
MLCON000009773,2005,9.01276E+11
MLCON000009774,2005,8.95178E+11
MLCON000009775,2005,8.61587E+11
MLCON000009776,2005,8.21407E+11
MLCON000009777,2005,7.89488E+11
MLCON000009778,2005,7.3718E+11
MLCON000009779,2005,6.97028E+11
MLCON000009780,2005,6.66546E+11
MLCON000010329,2005,35818000000
MLCON000010331,2005,34739700000
MLCON000010333,2005,34061800000
MLCON000010335,2005,34117400000
MLCON000010337,2005,33249900000
MLCON000010339,2005,31623000000
MLCON000010341,2005,33404700000
MLCON000010343,2005,33242700000
MLCON000010345,2005,31224600000
MLCON000010347,2005,29771400000
MLCON000010349,2005,28592200000
MLCON000010351,2005,27249800000
MLCON000010353,2005,26929300000
MLCON000010355,2005,26075100000
MLCON000010357,2005,25563800000
MLCON000010359,2005,23573739707
MLCON000010361,2005,21742908393
MLCON000010363,2005,20417543537
MLCON000010365,2005,19273148153
MLCON000010367,2005,18985489225
MLCON000010759,2005,4.4589E+11
MLCON000010760,2005,4.67057E+11
MLCON000010761,2005,4.52688E+11
MLCON000010762,2005,4.40013E+11
MLCON000010763,2005,4.35305E+11
MLCON000010764,2005,4.23249E+11
MLCON000010765,2005,4.07536E+11
MLCON000010766,2005,3.93262E+11
MLCON000010767,2005,3.82087E+11
MLCON000010768,2005,3.83837E+11
MLCON000010769,2005,3.75061E+11
MLCON000010770,2005,3.62873E+11
MLCON000010771,2005,3.64179E+11
MLCON000010772,2005,3.45285E+11
MLCON000010773,2005,3.24292E+11
MLCON000010774,2005,3.08447E+11
MLCON000010775,2005,2.94534E+11
MLCON000010776,2005,2.81381E+11
MLCON000010777,2005,2.75263E+11
MLCON000010778,2005,2.71212E+11
MLCON000010779,2005,2.79794E+11
MLCON000010782,2005,2.37993E+12
MLCON000010784,2005,2.34601E+12
MLCON000010786,2005,2.30045E+12
MLCON000010788,2005,2.27346E+12
MLCON000010790,2005,2.22953E+12
MLCON000010792,2005,2.18635E+12
MLCON000010794,2005,2.16375E+12
MLCON000010796,2005,2.10642E+12
MLCON000010798,2005,2.08615E+12
MLCON000010800,2005,2.07182E+12
MLCON000010802,2005,2.10746E+12
MLCON000010804,2005,2.09737E+12
MLCON000010806,2005,2.03658E+12
MLCON000010808,2005,1.98894E+12
MLCON000010810,2005,1.93807E+12
MLCON000010812,2005,1.86427E+12
MLCON000010814,2005,1.84727E+12
MLCON000010816,2005,1.82109E+12
MLCON000010818,2005,1.78389E+12
MLCON000010820,2005,1.72849E+12
MLCON000010822,2005,1.69438E+12
MLCON000010824,2005,1.65105E+12
MLCON000010826,2005,1.56817E+12
MLCON000010828,2005,1.4931E+12
MLCON000012493,2005,4.81284E+12
MLCON000012494,2005,4.43449E+12
MLCON000012495,2005,4.11317E+12
MLCON000012496,2005,3.94612E+12
MLCON000012497,2005,3.70398E+12
MLCON000012498,2005,3.71461E+12
MLCON000012499,2005,3.31592E+12
