Metric_Code,Base Year,Value,Value type,Metric name
MLCON000007636,2002,4.88E+12,Absolute,Exports of goods and services - Constant
MLCON000007637,2002,4.76E+12,Absolute,Exports of goods and services - Constant
MLCON000007638,2002,4.53E+12,Absolute,Exports of goods and services - Constant
MLCON000011610,2002,1.03E+13,Absolute,Exports of goods and services - Constant
MLCON000011611,2002,1.09E+13,Absolute,Exports of goods and services - Constant
MLCON000011612,2002,1.07E+13,Absolute,Exports of goods and services - Constant
MLCON000011613,2002,1.03E+13,Absolute,Exports of goods and services - Constant
MLCON000011614,2002,9.85E+12,Absolute,Exports of goods and services - Constant
MLCON000011615,2002,9.52E+12,Absolute,Exports of goods and services - Constant
MLCON000011616,2002,9.23E+12,Absolute,Exports of goods and services - Constant
MLCON000011617,2002,9.14E+12,Absolute,Exports of goods and services - Constant
MLCON000011618,2002,8.90E+12,Absolute,Exports of goods and services - Constant
MLCON000011619,2002,8.30E+12,Absolute,Exports of goods and services - Constant
MLCON000011620,2002,8.23E+12,Absolute,Exports of goods and services - Constant
MLCON000011621,2002,7.66E+12,Absolute,Exports of goods and services - Constant
MLCON000011622,2002,7.71E+12,Absolute,Exports of goods and services - Constant
MLCON000011623,2002,7.58E+12,Absolute,Exports of goods and services - Constant
MLCON000011624,2002,7.19E+12,Absolute,Exports of goods and services - Constant
MLCON000011625,2002,6.85E+12,Absolute,Exports of goods and services - Constant
MLCON000011626,2002,6.57E+12,Absolute,Exports of goods and services - Constant
MLCON000015513,2002,2.72E+12,Absolute,Exports of goods and services - Constant
MLCON000015514,2002,2.82E+12,Absolute,Exports of goods and services - Constant
MLCON000015515,2002,2.43E+12,Absolute,Exports of goods and services - Constant
MLCON000015516,2002,2.19E+12,Absolute,Exports of goods and services - Constant
MLCON000015517,2002,2.27E+12,Absolute,Exports of goods and services - Constant
MLCON000015518,2002,2.23E+12,Absolute,Exports of goods and services - Constant
MLCON000015519,2002,2.54E+12,Absolute,Exports of goods and services - Constant
MLCON000015520,2002,2.45E+12,Absolute,Exports of goods and services - Constant
MLCON000015521,2002,2.20E+12,Absolute,Exports of goods and services - Constant
MLCON000015522,2002,2.14E+12,Absolute,Exports of goods and services - Constant
MLCON000015523,2002,1.62E+12,Absolute,Exports of goods and services - Constant
MLCON000015524,2002,2.16E+12,Absolute,Exports of goods and services - Constant
MLCON000015525,2002,1.97E+12,Absolute,Exports of goods and services - Constant
MLCON000015526,2002,1.95E+12,Absolute,Exports of goods and services - Constant
MLCON000015527,2002,2.07E+12,Absolute,Exports of goods and services - Constant
MLCON000015528,2002,1.70E+12,Absolute,Exports of goods and services - Constant
MLCON000019459,2002,6.07E+12,Absolute,Exports of goods and services - Constant
MLCON000019460,2002,7.00E+12,Absolute,Exports of goods and services - Constant
MLCON000019461,2002,7.38E+12,Absolute,Exports of goods and services - Constant
MLCON000019462,2002,6.81E+12,Absolute,Exports of goods and services - Constant
MLCON000019463,2002,6.41E+12,Absolute,Exports of goods and services - Constant
MLCON000019464,2002,6.48E+12,Absolute,Exports of goods and services - Constant
MLCON000019465,2002,6.48E+12,Absolute,Exports of goods and services - Constant
MLCON000019466,2002,6.84E+12,Absolute,Exports of goods and services - Constant
MLCON000019467,2002,6.73E+12,Absolute,Exports of goods and services - Constant
MLCON000019468,2002,6.37E+12,Absolute,Exports of goods and services - Constant
MLCON000019469,2002,5.67E+12,Absolute,Exports of goods and services - Constant
MLCON000019470,2002,4.61E+12,Absolute,Exports of goods and services - Constant
MLCON000019471,2002,5.82E+12,Absolute,Exports of goods and services - Constant
MLCON000019472,2002,5.22E+12,Absolute,Exports of goods and services - Constant
MLCON000019473,2002,5.01E+12,Absolute,Exports of goods and services - Constant
MLCON000019474,2002,4.87E+12,Absolute,Exports of goods and services - Constant
MLCON000019475,2002,4.19E+12,Absolute,Exports of goods and services - Constant
MLCON000019476,2002,3.48E+12,Absolute,Exports of goods and services - Constant
MLCON000019477,2002,3.13E+12,Absolute,Exports of goods and services - Constant
MLCON000019478,2002,2.95E+12,Absolute,Exports of goods and services - Constant
MLCON000019479,2002,2.91E+12,Absolute,Exports of goods and services - Constant
MLCON000019480,2002,2.31E+12,Absolute,Exports of goods and services - Constant
MLCON000019481,2002,2.07E+12,Absolute,Exports of goods and services - Constant
MLCON000019482,2002,2.58E+12,Absolute,Exports of goods and services - Constant
MLCON000019483,2002,2.82E+12,Absolute,Exports of goods and services - Constant
MLCON000019484,2002,2.92E+12,Absolute,Exports of goods and services - Constant
MLCON000019485,2002,2.37E+12,Absolute,Exports of goods and services - Constant
MLCON000019486,2002,2.02E+12,Absolute,Exports of goods and services - Constant
MLCON000000039,2004,1.36E+11,Absolute,Exports of goods and services - Constant
MLCON000000040,2004,1.47E+11,Absolute,Exports of goods and services - Constant
MLCON000000041,2004,1.54E+11,Absolute,Exports of goods and services - Constant
MLCON000000042,2004,1.63E+11,Absolute,Exports of goods and services - Constant
MLCON000000043,2004,1.54E+11,Absolute,Exports of goods and services - Constant
MLCON000000044,2004,1.35E+11,Absolute,Exports of goods and services - Constant
MLCON000000045,2004,1.49E+11,Absolute,Exports of goods and services - Constant
MLCON000000046,2004,1.48E+11,Absolute,Exports of goods and services - Constant
MLCON000000047,2004,1.37E+11,Absolute,Exports of goods and services - Constant
MLCON000000048,2004,1.30E+11,Absolute,Exports of goods and services - Constant
MLCON000000049,2004,1.15E+11,Absolute,Exports of goods and services - Constant
MLCON000004021,2004,7.36E+11,Absolute,Exports of goods and services - Constant
MLCON000004022,2004,7.36E+11,Absolute,Exports of goods and services - Constant
MLCON000004023,2004,7.06E+11,Absolute,Exports of goods and services - Constant
MLCON000004024,2004,6.75E+11,Absolute,Exports of goods and services - Constant
MLCON000004025,2004,6.13E+11,Absolute,Exports of goods and services - Constant
MLCON000004026,2004,5.68E+11,Absolute,Exports of goods and services - Constant
MLCON000004027,2004,5.46E+11,Absolute,Exports of goods and services - Constant
MLCON000004028,2004,5.19E+11,Absolute,Exports of goods and services - Constant
MLCON000004029,2004,4.77E+11,Absolute,Exports of goods and services - Constant
MLCON000004030,2004,4.44E+11,Absolute,Exports of goods and services - Constant
MLCON000004031,2004,4.06E+11,Absolute,Exports of goods and services - Constant
MLCON000007988,2004,8.73E+11,Absolute,Exports of goods and services - Constant
MLCON000007989,2004,8.69E+11,Absolute,Exports of goods and services - Constant
MLCON000007990,2004,8.45E+11,Absolute,Exports of goods and services - Constant
MLCON000007991,2004,8.38E+11,Absolute,Exports of goods and services - Constant
MLCON000007992,2004,7.73E+11,Absolute,Exports of goods and services - Constant
MLCON000007993,2004,7.06E+11,Absolute,Exports of goods and services - Constant
MLCON000007994,2004,7.06E+11,Absolute,Exports of goods and services - Constant
MLCON000007995,2004,6.85E+11,Absolute,Exports of goods and services - Constant
MLCON000007996,2004,6.34E+11,Absolute,Exports of goods and services - Constant
MLCON000007997,2004,5.85E+11,Absolute,Exports of goods and services - Constant
MLCON000007998,2004,5.36E+11,Absolute,Exports of goods and services - Constant
MLCON000011969,2004,1.64E+11,Absolute,Exports of goods and services - Constant
MLCON000011970,2004,1.75E+11,Absolute,Exports of goods and services - Constant
MLCON000011971,2004,1.67E+11,Absolute,Exports of goods and services - Constant
MLCON000011972,2004,1.94E+11,Absolute,Exports of goods and services - Constant
MLCON000011973,2004,1.64E+11,Absolute,Exports of goods and services - Constant
